x_m,y_m,w_tr_right_m,w_tr_left_m,ideal_speed,ideal_x,ideal_y
67.167592,727.624665,4.626,4.648,348.0,64.45969267889375,728.1708147215803
67.593578,732.604947,4.618,4.636,348.0,64.83563908366237,732.6328582166911
68.020133,737.585185,4.611,4.624,348.0,65.21158548843098,737.0949017118023
68.447198,742.565374,4.603,4.611,348.0,65.71284736145581,743.0442930386168
68.87471,747.545505,4.596,4.599,348.0,66.08879376622444,747.5063365337278
69.302611,752.525571,4.588,4.587,348.0,66.59005563924926,753.4557278605423
69.730839,757.505565,4.58,4.574,348.0,67.00640949815069,758.6470441071215
70.159335,762.48548,4.573,4.562,348.0,67.3328644968609,762.6573974977008
70.588036,767.465309,4.565,4.55,348.0,67.84192425083945,768.624709058227
71.016883,772.445043,4.558,4.538,348.0,68.18129742015847,772.6029167652445
71.445816,777.424677,4.55,4.525,348.0,68.69035717413702,778.5702283257706
71.874773,782.404202,4.543,4.513,348.0,69.02833546321428,782.5420232762846
72.303695,787.383612,4.535,4.501,347.92877566321255,69.52440124678972,788.4666645694606
72.73252,792.362899,4.527,4.488,347.78254947990206,69.84982200995127,792.4157685504978
73.161188,797.342055,4.52,4.476,347.56321020493635,70.33795315469358,798.3394245220537
73.589639,802.321074,4.512,4.464,347.4151408311057,70.66890961711331,802.3414665389208
74.017812,807.299949,4.505,4.451,347.18754515730984,71.181837406792,808.5022534702484
74.445646,812.278671,4.497,4.439,347.0358147081126,71.52378926657778,812.6094447578001
74.873081,817.257234,4.49,4.427,339.4928213693682,71.87509769176205,816.7712721626658
75.300056,822.235631,4.482,4.414,324.40735481735817,72.4087511966338,823.0081890036547
75.726512,827.213854,4.474,4.402,314.091175513129,72.76628691089215,827.1427630848419
76.152386,832.191896,4.467,4.39,302.20574621388084,73.29631460777566,833.2297000231472
76.577619,837.169749,4.459,4.377,294.6559761523142,73.64901264777365,837.2756863284097
77.002151,842.147407,4.452,4.365,283.33132105996435,74.17805970777064,843.3446657863036
77.42592,847.124861,4.444,4.353,275.83511250583234,74.52540509753591,847.3854056723768
77.848866,852.102106,4.437,4.34,268.5056181833109,74.8386579940778,851.381005050598
78.270929,857.079133,4.429,4.328,257.05090364456044,75.28263027022442,857.3006353992195
78.692047,862.055936,4.421,4.316,245.4294407818918,75.7317995470093,863.18913565952
79.112161,867.032506,4.414,4.303,236.13526347333064,76.08930998694214,867.0834109990919
79.53121,872.008837,4.406,4.291,222.1939975104889,76.6255756468414,872.92482400845
79.949134,876.984921,4.399,4.279,212.95645942293024,77.08581815335316,877.7269333439888
80.365871,881.960752,4.391,4.266,203.5951650164481,77.65589525366214,883.5097692720964
80.781362,886.936322,4.384,4.254,198.9145178132071,77.94093380381663,886.40118723615
81.195545,891.911623,4.376,4.242,182.36722434606943,78.59776817572939,892.4369659534601
81.60836,896.886648,4.368,4.23,158.51598097402487,79.29494936760082,897.2838717495029
82.019747,901.861391,4.361,4.217,150.58108011757446,80.48829523161984,901.8734252171695
