Distance,X,Y,Speed
500.0,-947.6334545018955,4249.6999156498605,345.0
502.0,-945.9154167310408,4269.228192339719,345.0
504.0,-944.197378960186,4288.756469029578,345.0
506.0,-941.356313685465,4321.7397623059005,345.0
508.0,-938.3694813264921,4356.469494141938,345.0
510.0,-935.382648967519,4391.199225977975,345.0
512.0,-932.3894335596152,4426.066552089152,345.06279762372895
514.0,-929.3892954819678,4461.083104649275,345.19370176120685
516.0,-926.3891574043203,4496.099657209399,345.32460589868475
518.0,-923.3890193266728,4531.116209769523,345.45551003616265
520.0,-920.5884529635587,4563.798242706776,345.58640105535125
522.0,-918.5680634192984,4587.354042013271,345.71724079179546
524.0,-916.5476738750381,4610.909841319765,345.84808052823973
526.0,-914.5272843307778,4634.465640626259,345.978920264684
528.0,-913.4773495575029,4646.71575032987,346.0
530.0,-912.6137935150796,4656.7945686527955,346.0
532.0,-911.7502374726562,4666.87338697572,346.0
534.0,-910.8866814302328,4676.952205298645,346.0
536.0,-910.0231253878094,4687.03102362157,346.0
538.0,-909.159569345386,4697.109841944495,346.0
540.0,-908.2960133029626,4707.188660267419,346.0
542.0,-907.4324572605393,4717.267478590345,346.0
544.0,-906.5689012181159,4727.34629691327,346.0
546.0,-905.7053451756925,4737.425115236195,346.0
548.0,-904.8417891332691,4747.503933559119,346.0
550.0,-903.9782330908457,4757.582751882044,346.0
552.0,-903.1146770484223,4767.661570204969,346.0
554.0,-901.7821765939318,4783.35741205993,346.0
556.0,-900.3778659251333,4799.913397789577,346.0
558.0,-898.8155397927909,4818.270964531502,346.0428534848174
560.0,-897.0286765558969,4839.188545179909,346.14660099345394
562.0,-895.241813319003,4860.106125828315,346.25034850209045
564.0,-893.4549500821091,4881.023706476722,346.354096010727
566.0,-891.6680868452152,4901.941287125129,346.45784351936356
568.0,-889.8812236083212,4922.858867773535,346.5615910280001
570.0,-888.0943603714272,4943.7764484219415,346.6653385366366
572.0,-886.3074971345334,4964.694029070349,346.7690860452732
574.0,-884.5179363943224,4985.516765258234,346.87283163120304
576.0,-882.7210180669981,5006.080808017973,346.9765719728457
578.0,-880.9540583118792,5026.059629185045,347.0
580.0,-879.1958378173282,5045.867734473093,347.0
582.0,-877.4376173227772,5065.675839761142,347.0
584.0,-875.6793968282262,5085.483945049191,347.0
586.0,-873.9211763336752,5105.292050337239,347.0
588.0,-872.1629558391243,5125.100155625288,347.0
590.0,-870.4047353445733,5144.908260913337,347.0
592.0,-868.6465148500223,5164.7163662013845,347.0
594.0,-866.9022127940243,5184.485285118355,347.0
596.0,-865.1660050364205,5204.231415115485,347.0
598.0,-863.4297972788169,5223.977545112614,347.0
